0:0:0:0:0:0:0:1 - - [21/Feb/2018:15:49:08 +0530] "GET /sessions/new HTTP/1.1" 200 - "http://localhost:9000/about" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; gdn/adcp; managedpc; rv:11.0) like Gecko" "AWG330y0kZHjGMlWAAAW"
0:0:0:0:0:0:0:1 - - [21/Feb/2018:15:49:08 +0530] "GET /js/38.3436e8ce.chunk.js HTTP/1.1" 200 5787 "http://localhost:9000/sessions/new" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; gdn/adcp; managedpc; rv:11.0) like Gecko" "AWG330y0kZHjGMlWAAAX"
0:0:0:0:0:0:0:1 - - [21/Feb/2018:15:49:08 +0530] "GET /api/l10n/index?locale=en-US&ts=2018-02-21T15%3A48%3A41%2B0530 HTTP/1.1" 304 - "http://localhost:9000/sessions/new" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; gdn/adcp; managedpc; rv:11.0) like Gecko" "AWG330y0kZHjGMlWAAAY"
0:0:0:0:0:0:0:1 - - [21/Feb/2018:15:49:08 +0530] "GET /api/system/status HTTP/1.1" 200 67 "http://localhost:9000/sessions/new" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; gdn/adcp; managedpc; rv:11.0) like Gecko" "AWG330y0kZHjGMlWAAAZ"
0:0:0:0:0:0:0:1 - - [21/Feb/2018:15:49:08 +0530] "GET /api/users/identity_providers HTTP/1.1" 200 24 "http://localhost:9000/sessions/new" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; gdn/adcp; managedpc; rv:11.0) like Gecko" "AWG330y0kZHjGMlWAAAa"
0:0:0:0:0:0:0:1 - - [21/Feb/2018:15:49:13 +0530] "POST /api/authentication/login HTTP/1.1" 200 - "http://localhost:9000/sessions/new" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; gdn/adcp; managedpc; rv:11.0) like Gecko" "AWG330y0kZHjGMlWAAAb"
0:0:0:0:0:0:0:1 - - [21/Feb/2018:15:49:13 +0530] "GET / HTTP/1.1" 200 - "http://localhost:9000/sessions/new" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; gdn/adcp; managedpc; rv:11.0) like Gecko" "AWG330y0kZHjGMlWAAAc"
0:0:0:0:0:0:0:1 - - [21/Feb/2018:15:49:13 +0530] "GET /api/l10n/index?locale=en-US&ts=2018-02-21T15%3A48%3A41%2B0530 HTTP/1.1" 304 - "http://localhost:9000/" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; gdn/adcp; managedpc; rv:11.0) like Gecko" "AWG330y0kZHjGMlWAAAd"
0:0:0:0:0:0:0:1 - - [21/Feb/2018:15:49:13 +0530] "GET /api/system/status HTTP/1.1" 200 67 "http://localhost:9000/" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; gdn/adcp; managedpc; rv:11.0) like Gecko" "AWG330y0kZHjGMlWAAAe"
0:0:0:0:0:0:0:1 - - [21/Feb/2018:15:49:13 +0530] "GET /api/users/current HTTP/1.1" 200 309 "http://localhost:9000/" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; gdn/adcp; managedpc; rv:11.0) like Gecko" "AWG330y0kZHjGMlWAAAf"
0:0:0:0:0:0:0:1 - - [21/Feb/2018:15:49:13 +0530] "GET /api/languages/list HTTP/1.1" 200 214 "http://localhost:9000/" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; gdn/adcp; managedpc; rv:11.0) like Gecko" "AWG330y0kZHjGMlWAAAh"
0:0:0:0:0:0:0:1 - - [21/Feb/2018:15:49:13 +0530] "GET /api/navigation/global HTTP/1.1" 200 425 "http://localhost:9000/" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; gdn/adcp; managedpc; rv:11.0) like Gecko" "AWG330y0kZHjGMlWAAAg"
