2017.11.24 12:31:54 INFO  es[][o.s.p.ProcessEntryPoint] Starting es
2017.11.24 12:31:55 INFO  es[][o.s.s.EsSettings] Elasticsearch listening on /127.0.0.1:9001
2017.11.24 12:31:56 INFO  es[][o.elasticsearch.node] [sonarqube] version[2.4.4], pid[4520], build[fcbb46d/2017-01-03T11:33:16Z]
2017.11.24 12:31:56 INFO  es[][o.elasticsearch.node] [sonarqube] initializing ...
2017.11.24 12:31:56 INFO  es[][o.e.plugins] [sonarqube] modules [], plugins [], sites []
2017.11.24 12:31:56 INFO  es[][o.elasticsearch.env] [sonarqube] using [1] data paths, mounts [[OSDisk (C:)]], net usable_space [204.8gb], net total_space [465.2gb], spins? [unknown], types [NTFS]
2017.11.24 12:31:56 INFO  es[][o.elasticsearch.env] [sonarqube] heap size [998.4mb], compressed ordinary object pointers [unknown]
2017.11.24 12:32:04 INFO  es[][o.elasticsearch.node] [sonarqube] initialized
2017.11.24 12:32:04 INFO  es[][o.elasticsearch.node] [sonarqube] starting ...
2017.11.24 12:32:04 INFO  es[][o.e.transport] [sonarqube] publish_address {127.0.0.1:9001}, bound_addresses {127.0.0.1:9001}
2017.11.24 12:32:04 INFO  es[][o.e.discovery] [sonarqube] sonarqube/VyBS7JAHTZOdKoMPVYS3zg
2017.11.24 12:32:08 INFO  es[][o.e.cluster.service] [sonarqube] new_master {sonarqube}{VyBS7JAHTZOdKoMPVYS3zg}{127.0.0.1}{127.0.0.1:9001}{rack_id=sonarqube, master=true}, reason: zen-disco-join(elected_as_master, [0] joins received)
2017.11.24 12:32:08 INFO  es[][o.elasticsearch.node] [sonarqube] started
2017.11.24 12:32:09 INFO  es[][o.e.gateway] [sonarqube] recovered [7] indices into cluster_state
2017.11.24 12:32:18 INFO  es[][o.e.c.r.allocation] [sonarqube] Cluster health status changed from [RED] to [GREEN] (reason: [shards started [[components][0], [components][0]] ...]).
2017.11.24 16:17:01 WARN  es[][o.e.monitor.jvm] [sonarqube] [gc][young][13453][9] duration [5.9s], collections [1]/[8.3s], total [5.9s]/[7.2s], memory [95.1mb]->[27.9mb]/[998.4mb], all_pools {[young] [68.2mb]->[852.1kb]/[204.8mb]}{[survivor] [890.6kb]->[1mb]/[25.5mb]}{[old] [26mb]->[26mb]/[768mb]}
